imdb_id,original_title,tags
tt11046300,Ujda Chaman,comedy ujda chaman is about a 30 -year-old bachelor chaman kohli a hindi lecturer with premature balding and in quest of a beautiful wife. after facing several rejections as a prospective groom because of his baldness chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever. this leads chaman on a funny and emotional roller coaster ride of self-discovery and acceptance. sunnysinghnijjar maanvigagroo saurabhshukla atulkumar grushakapoor gaganarora karishmasharma 
tt9176260,Bypass Road,drama thriller the story revolves around a young man vikram (neil nitin mukesh) who is a fashion prodigy. the story is layered with a murder in town. neilnitinmukesh adahsharma gulpanag tahershabbir shamasikander manishchaudhary rajitkapoor 
tt9179426,Satellite Shankar,action drama the extraordinary journey of a soldier that brought a nation together. it stars sooraj pancholi and megha akash in the lead roles and is directed by irfan kamal. surajpancholi anilreji 
tt7743400,Jhalki,drama a life-altering disappearance of her 7-year old brother sets jhalki off on a mission to find him at all costs. armed with an intimate folk-tale and her own sharp mind is jhalki's journey the start of a spiral that will change the lives of thousands for good? what price must she pay to get what she wants? inspired by true events with a backdrop of human-trafficking and child-labour jhalki becomes an atypical thriller of hope courage self-belief and perseverance seen through the eyes of a 9-year-old girl who will not stop anywhere short of a triumph. bomanirani tannishthachatterjee divyadutta sanjaysuri akhilendramishra govindnamdeo yatinkaryekar joysengupta saileshdubey bachanpachehra sanchitagoswami gorakshasakpal vikramsingh aartijha 
tt9248934,Marjaavaan,"action romance marjaavaan is an upcoming indian action romance film directed by milap zaveri starring ritesh deshmukh sidharth malhotra tara sutaria and rakul preet singh. the co producer of the film bhushan kumar described the film as ""a violent dramatic love story"". riteishdeshmukh sidharthmalhotra tarasutaria rakulpreetsingh "
tt9172840,Motichoor Chaknachoor,comedy romance a hilarious story of a 36-year-old jobless man pushpender trying to find a wife and anita who's also looking for a husband. but there's a catch - anita wants to settle abroad after marriage. nawazuddinsiddiqui athiyashetty vibhachhibber sanjeevvatsa bhumikadube devanshkumar 
tt8876008,Keep Safe Distance,action thriller keep safe distance is an upcoming indian thriller film directed by rama mehra and produced by vishnu dhanraj sharma and mahesh sharma under the rama dhanraj production shahbaazkhan adiirani vikasanand kirankumar anilnagrath sagarikaneha laxmansinghrajput pradeepkabra shilpagandhi jaiyadav abhishekkhanna vishnudhanrajsharma 
tt9495690,Pagalpanti,action comedy a tourist group from india sets out on a vacation to only have their trip to turn into a patriotic mission. will it end well for them? kritikharbanda johnabraham ileanad'cruz anilkapoor urvashirautela jamie-leebeacher atulsharma saurabhshukla arshadwarsi sammyjohnheaney vaunishakapoor pulkitsamrat simrankaur manojanand 
tt8110330,Dil Bechara,drama romance a love story about two cancer patients. sushantsinghrajput sanjanasanghi sahilvaid 
tt9680136,Pati Patni Aur Woh,comedy romance chintu tyagi is an ordinary middle class man who finds himself torn between his wife and another woman. kartikaaryan bhumipednekar ananyapanday aparshaktikhurana 
tt8983168,Commando 3,action thriller a mysterious man is on an impending mission to attack the country from his base in london. karan singh dogra sets out to hunt down the antagonist aided by the british intelligence. will commando be able to prevent the attack and save the country? vidyutjammwal adahsharma angiradhar sumeetthakur markbennington simrankaur atharvavishwakarma abhilashchaudhary ferynawazheir 
